VALD_index,blend_RV_factor
33006,25.955714037589228
33007,48.74267393552566
33008,55.71480406507433
33009,55.53195033014708
33010,36.98711637077631
33011,31.36911269479704
33012,10.11515092587107
33013,-7.003006685368871
33014,-15.069828522088887
33015,-10.322537769382548
33016,-8.447718689524319
33017,-17.76561119986732
33018,-17.615107667744084
33019,-11.491095182481908
33020,-3.6395029073515204
33021,-1.8028638394359442
33022,-0.31081633931939
33023,15.54157017068591
33024,19.611393880111947
33025,19.764809625177808
33026,2.3484737183875373
33027,12.56873459664096
33028,3.8119470857949147
33029,9.086119868473324
33030,2.962399570548775
33031,2.2508472066627245
33032,1.509657723385589
33033,0.2157395105648702
33034,3.7964758175250863
33035,-1.9595160638079205
33036,-2.799359318252537
33037,-6.008404075438979
33038,15.274011836129803
33039,6.157798298361741
33040,10.177001049511055
33041,12.962026688588685
33042,14.808409109673008
33043,19.848532182858154
33044,21.077525217053214
33045,-1.6057124933094038
33046,30.90141188413367
33047,48.194049615713084
33048,49.49816085021424
33049,43.37045350941843
33050,42.501345540629764
33051,29.51910513449439
33052,11.462301576422655
33053,-28.115882076089758
33054,-35.841932484482065
33055,-34.20708437286559
33056,-19.244064623253227
33057,-19.221252061422664
33058,-5.857012948560465
33059,-5.133889633820175
33060,-2.9397456413210774
33061,-2.1343919327440535
33062,-1.6297952747866868
33063,-2.9379428110068977
33064,-3.210454658576682
33065,-4.1550822769074625
33066,-4.81295841798749
33067,-1.8566010345549269
33068,3.964751056478765
33069,6.252474112384471
33070,-6.235679896812082
33071,6.9636092201673145
33072,-1.4608342987881764
33073,5.762451974398366
33074,2.2035514875229305
33075,0.5246149047360869
33076,1.3466310183384695
33077,11.325514904778942
33078,5.2454760071162205
33079,5.408333326529849
33080,5.617388116154802
33081,5.5729816695411225
33082,6.1967416485785245
33083,6.396831905988046
33084,6.476446052709523
33085,6.8458570733848285
33086,8.549671400120829
33087,8.640755640360767
33088,10.085760379822455
33089,11.226746075580927
33090,9.971982674269631
33091,16.06660238307673
33092,18.00605553735755
33093,17.882468920354157
33094,18.28140654563504
33095,16.95246719094684
33096,18.768852429511387
33097,18.332466335836433
33098,18.90015205317435
33099,19.12668061724026
33100,16.012287536266097
33101,15.473452339020382
33102,17.278164644177036
33103,13.675065314220488
33104,11.345181990073838
33105,-40.33805450770587
33106,-38.798336843313535
33107,-36.68131569162675
33108,-30.504072583219532
33109,-21.665728384326
33110,-18.06184080743765
33111,8.719681813210638
33112,-16.32984360721671
33113,-14.87230501422414
33114,-13.382726276490606
33115,-10.490763841225132
33116,-9.39315459072794
33117,-9.210583326958863
33118,-11.049100706338491
33119,-15.188463372728634
33120,-23.919884186938667
33121,-27.01360559092075
33122,-21.11609705075419
33123,-13.587372562166173
33124,-1.2412586938428731
33125,8.337968925876801
33126,9.388690020375554
33127,18.090521052397335
33128,12.813544847796216
33129,16.5829622230192
33130,10.585509140309146
33131,9.175225893136194
33132,6.4385545439498175
33133,2.8469113411706637
33134,0.6946627246904284
33135,-6.751261042573864
33136,-6.789137402121758
33137,-7.293783517877683
33138,-16.347700061712892
33139,-8.718468939278582
33140,1.7961325007511986
33141,6.521065398188735
33142,8.59131319351682
33143,11.25239396680657
33144,9.25813679097862
33145,7.888243436123894
33146,7.544717504177165
33147,-0.5390937042817212
33148,-1.066319267272841
33149,3.7070760615096665
33150,-14.307331448707204
33151,-17.425130793266295
33152,-19.102200300042618
33153,-19.79681165405437
33154,-29.592488817021977
33155,-29.521146113187335
33156,-29.825769136854323
33157,-39.015678600500465
33158,-29.83452034568066
33159,-28.559889333863783
33160,-13.951102959070356
33161,8.628396037895946
33162,2.868963226621522
33163,11.702282316319671
33164,14.362336263446373
33165,14.348442888369341
33166,14.567119953255624
33167,17.494379988719285
33168,16.953657840309738
33169,26.69630127990062
33170,14.502438503448873
33171,13.147872439945335
33172,5.242702092586326
33173,-1.4849436006294732
33174,-6.668033617861724
33175,-12.08255162527262
33176,-14.292965517349948
33177,-13.98854832233256
33178,-12.363208207841831
33179,-22.409521510358903
33180,-7.089168979329674
33181,-2.9200008131134387
33182,1.7654020002773854
33183,7.86272563380022
33184,13.781779448831301
33185,16.458262293811874
