VALD_index,blend_RV_factor
33192,-7.1174365299996945
33193,-5.70695518446336
33194,-4.464594547546389
33195,-3.0641845265584613
33196,-1.8595392863913645
33197,-1.8030419340772867
33198,-1.456962439491761
33199,-1.4181479591427617
33200,-1.4774445372000586
33201,-1.9935061911525043
33202,-2.5000019931059936
33203,-3.394957657269486
33204,-3.5870524855019585
33205,-3.6132552275206136
33206,-3.814256090638582
33207,-3.814256090638582
33208,-5.806544180594047
33209,-5.916335823208932
33210,-8.809832176800885
33211,-9.368086742440351
33212,-9.510547978649834
33213,-9.423849053152084
33214,-9.33471381933419
33215,-7.409935882759335
33216,-6.518341186161937
33217,-3.8348762473566245
33218,-1.3449533543705745
33219,-1.2537272487038502
33220,-1.0363975084083983
33221,-0.7499567870222974
33222,-0.20124123080012019
33223,-0.18954195384944156
33224,-0.181703046790319
33225,-0.014555240162739494
33226,0.4534192116428836
33227,0.45966906319599465
33228,0.20358386824791505
33229,-3.1802368058592485
33230,-4.6732599590266775
33231,-19.239877233163387
33232,-30.99991562517905
33233,-34.55202379228786
33234,-36.91668823089065
33235,-37.375568634371525
33236,-35.35384045389797
33237,-34.318244018806
33238,-31.326366127295096
33239,-30.9476527481707
33240,-29.354765697498287
33241,-27.81095132922565
33242,-27.68322405298002
33243,-27.574506390870773
33244,-27.565253930229403
33245,-28.271981482411345
33246,-28.364457885081233
33247,-30.2854033520365
33248,-31.641528100668783
33249,-31.910324514201832
33250,-32.28353088129117
33251,-32.29862524815946
33252,-32.34795930003638
33253,-32.3922446111539
33254,-32.05224016202396
33255,-31.76268075946904
33256,-31.665044203982642
33257,-31.635040361818422
33258,-30.670813190682743
33259,-30.264405746081884
33260,-29.83367790846253
33261,-29.2466172882769
33262,-28.68993259559632
33263,-28.587333738537065
33264,-28.492606858787045
33265,-28.45621708375372
33266,-27.918977799320814
33267,-27.62619959476053
33268,-26.739388084463855
33269,-26.739388084463855
33270,-26.55474519806543
33271,-26.464189479474094
33272,-25.571139962152902
33273,-25.73300078430749
33274,-26.194724683202477
33275,-26.211135058335124
33276,-26.65808288618161
33277,-26.420913110381942
33278,-23.453489787284905
33279,-22.94549418363179
33280,-22.033890029030893
33281,-7.489532385854999
33282,-5.235026074611868
33283,-2.532305921204057
33284,-0.2460259688051388
33285,0.9055661641805589
33286,1.2316843043602366
33287,2.424408031236427
33288,2.7765609607146327
33289,2.7987104071585507
33290,3.017461483499671
33291,3.3635152603755754
33292,3.3943026508233727
33293,3.4291861425794345
33294,3.46521925861241
33295,3.5467030677988416
33296,3.587560382791624
33297,3.775808594183152
33298,3.8091637205585576
33299,3.8280079078780553
33300,3.63487656144572
33301,3.484824518767795
33302,3.4188425110115186
33303,1.665670288228667
33304,1.5334313428560322
33305,-1.3283484580158118
33306,-2.062432648109801
33307,-1.9926770220195476
33308,-1.1454179348252471
33309,2.2390288198492794
33310,3.9489331577211155
33311,5.793462500310241
33312,5.773537052504398
33313,6.1427972256975325
33314,10.958428884388654
33315,7.844755307442668
33316,3.760309153616732
33317,-0.4649919137420385
33318,-18.158964515986373
33319,-18.00129948996771
33320,-10.222123217499657
33321,-12.341231008939998
33322,-12.357708049542723
33323,-12.531065514606023
33324,-12.857845730493407
33325,-12.988166991539213
33326,-10.326312011573487
33327,-2.7942990858710837
33328,-1.9272842033207387
33329,-1.9272842033207387
33330,-1.7636106126169202
33331,-0.43737301880212504
33332,0.4121536271972591
33333,0.6613082938945847
33334,0.8539804099066819
33335,1.9877330150914014
33336,2.016499674064205
33337,2.0375624044967138
33338,2.043772967184333
33339,1.7865504601434248
33340,1.2786492687003785
33341,-0.2298778149988566
33342,-0.7146761365530917
33343,-0.67711896767386
33344,-0.47674792461143345
33345,-0.4818517972806876
33346,-1.0327757748160653
33347,-2.045614112890635
33348,-2.170853537178449
33349,-2.162000740281839
33350,-2.083343812927244
33351,-1.4590406561765783
33352,-1.427959923916436
